uid	original_id	id	original_title	title	rating
10103292967478678	18335	1362	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	partially faded hand print undermining everything prosecutor claims	0.982
10103292967478678	18335	1362	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	partially faded hand print undermining everything prosecutor claims	NULL
10103292967478678	18335	1362	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	partially faded hand print undermining everything prosecutor claims	1
10103292967478678	18335	1362	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	partially faded hand print undermining everything prosecutor claims	1
10152588290628559	18335	1348	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	PARTIALLY FADED HAND STAMP undermines PROSECUTOR	0.233
10152588290628559	18335	1348	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	PARTIALLY FADED HAND STAMP undermines PROSECUTOR	0.105
10152588290628559	18335	1348	Partially Faded Hand Stamp Undermining Everything Prosecutor Says	PARTIALLY FADED HAND STAMP undermines PROSECUTOR	0.99
guest_b686ab42544accb04f98e2d4cb79c14e	18342	3499	Synthesizer Trumpet Announces Arrival Of Porn King	Electronic Music for Porn Soundtrack 	0
guest_b686ab42544accb04f98e2d4cb79c14e	18342	3499	Synthesizer Trumpet Announces Arrival Of Porn King	Electronic Music for Porn Soundtrack 	0.717
guest_18a3e9d3522c67f8f0e56e97ac177abc	18342	3726	Synthesizer Trumpet Announces Arrival Of Porn King	TRUMPET ANNOUNCES ARRIVAL OF JAZZ WEEK	0.235
guest_18a3e9d3522c67f8f0e56e97ac177abc	18342	3726	Synthesizer Trumpet Announces Arrival Of Porn King	TRUMPET ANNOUNCES ARRIVAL OF JAZZ WEEK	0.026
guest_a8613bce0426cdeda6bbbebc3e6cc122	18342	3470	Synthesizer Trumpet Announces Arrival Of Porn King	Synthesizer trumpet announces arrival of Pop King	1
guest_a8613bce0426cdeda6bbbebc3e6cc122	18342	3470	Synthesizer Trumpet Announces Arrival Of Porn King	Synthesizer trumpet announces arrival of Pop King	NULL
guest_a8613bce0426cdeda6bbbebc3e6cc122	18342	3470	Synthesizer Trumpet Announces Arrival Of Porn King	Synthesizer trumpet announces arrival of Pop King	NULL
guest_a8613bce0426cdeda6bbbebc3e6cc122	18342	3470	Synthesizer Trumpet Announces Arrival Of Porn King	Synthesizer trumpet announces arrival of Pop King	0.795
guest_4712440d5ab89603f17f2f96cb95eab5	18345	2919	Depressed Security Guard Turns Big Flashlight On Self	Selfie light shows deep depression	0.719
guest_4712440d5ab89603f17f2f96cb95eab5	18345	2919	Depressed Security Guard Turns Big Flashlight On Self	Selfie light shows deep depression	1
545739205525767	18345	2432	Depressed Security Guard Turns Big Flashlight On Self	DEPRESSED SECURITY GUARD TURNS Gun ON SELF	NULL
545739205525767	18345	2432	Depressed Security Guard Turns Big Flashlight On Self	DEPRESSED SECURITY GUARD TURNS Gun ON SELF	0.509
