Everyone At Office Planning Shooting Spree For Same Day	satirical	theonion.com	http://www.theonion.com/articles/everyone-at-office-planning-shooting-spree-for-sam,30793/	2013-01-03 00:00:00
Neighborhood Flocks To Coffee Shop Bulletin Board To Read About Fun Upcoming Events	satirical	theonion.com	http://www.theonion.com/articles/neighborhood-flocks-to-coffee-shop-bulletin-board,30801/	2013-01-04 00:00:00
Asshole From Plane Greeted At Baggage Claim By Whole Family	satirical	theonion.com	http://www.theonion.com/articles/asshole-from-plane-greeted-at-baggage-claim-by-who,30789/	2013-01-02 00:00:00
Partially Faded Hand Stamp Undermining Everything Prosecutor Says	satirical	theonion.com	http://www.theonion.com/articles/partially-faded-hand-stamp-undermining-everything,30790/	2013-01-02 00:00:00
Pet Dog Almost Like Disgusting Family Member	satirical	theonion.com	http://www.theonion.com/articles/pet-dog-almost-like-disgusting-family-member,30794/	2013-01-03 00:00:00
Walgreens Manager Certain Dead Father Would Have Been Proud Of Crest Toothpaste Display	satirical	theonion.com	http://www.theonion.com/articles/walgreens-manager-certain-dead-father-would-have-b,30798/	2013-01-04 00:00:00
Ornithologist Forced To Participate In History Channel's 'What If Humans Suddenly Became Birds?' Program	satirical	theonion.com	http://www.theonion.com/articles/ornithologist-forced-to-participate-in-history-cha,30803/	2013-01-04 00:00:00
4 Copy Editors Killed In Ongoing AP Style, Chicago Manual Gang Violence	satirical	theonion.com	http://www.theonion.com/articles/4-copy-editors-killed-in-ongoing-ap-style-chicago,30806/	2013-01-07 00:00:00
Army Commander Depressed After Reading Facebook Comments On Latest Raid	satirical	theonion.com	http://www.theonion.com/articles/army-commander-depressed-after-reading-facebook-co,30810/	2013-01-07 00:00:00
31-Year-Old Now The Only One Of His Friends Who Hasn't Gotten Married, Divorced	satirical	theonion.com	http://www.theonion.com/articles/31yearold-now-the-only-one-of-his-friends-who-hasn,30818/	2013-01-08 00:00:00
Synthesizer Trumpet Announces Arrival Of Porn King	satirical	theonion.com	http://www.theonion.com/articles/synthesizer-trumpet-announces-arrival-of-porn-king,30799/	2013-01-04 00:00:00
Basically Dead Hamster Thrown Out	satirical	theonion.com	http://www.theonion.com/articles/basically-dead-hamster-thrown-out,30802/	2013-01-04 00:00:00
Small-Town Phone Book Increasingly List Of Dead People	satirical	theonion.com	http://www.theonion.com/articles/smalltown-phone-book-increasingly-list-of-dead-peo,30804/	2013-01-04 00:00:00
Depressed Security Guard Turns Big Flashlight On Self	satirical	theonion.com	http://www.theonion.com/articles/depressed-security-guard-turns-big-flashlight-on-s,30809/	2013-01-07 00:00:00
Fugitive Doctor Accuses Devlin MacGregor Of Fraud	satirical	theonion.com	http://www.theonion.com/articles/fugitive-doctor-accuses-devlin-macgregor-of-fraud,30795/	2013-01-03 00:00:00
AIG Nearly Blows All The Goodwill Built Up By Wall Street In Recent Years	satirical	theonion.com	http://www.theonion.com/articles/aig-nearly-blows-all-the-goodwill-built-up-by-wall,30845/	2013-01-09 00:00:00
Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	satirical	theonion.com	http://www.theonion.com/articles/overweight-6yearold-vows-to-change-lifestyle-after,30856/	2013-01-10 00:00:00
Gorilla Sales Skyrocket After Latest Gorilla Attack	satirical	theonion.com	http://www.theonion.com/articles/gorilla-sales-skyrocket-after-latest-gorilla-attac,30860/	2013-01-10 00:00:00
I-95 Diagnosed With Highway Cancer	satirical	theonion.com	http://www.theonion.com/articles/i95-diagnosed-with-highway-cancer,30893/	2013-01-14 00:00:00
