id	uid	batch_id	position	rating	title	truth_type	domain
9332	guest_42bd7e1bb2d6fff2cec15e1dc22a53f7	62d34056f060df794e380ede4b87d6fa	1	0.083	sunday feature: a brief history of cunning	real	bbc.co.uk
9332	guest_bf8c80645dca0cd47c4090a0ec42614b	2dba1a7bf8785ef8563c7c794c56ebc6	1	0.765	sunday feature: a brief history of cunning	real	bbc.co.uk
9333	guest_ba19008885239c62d57310a04258c97d	b5cbfe30e1e3627bbd9c2107a35f4f08	1	0	olympics - all programmes - page 1	real	bbc.co.uk
9333	10152579041713756	8e16c9101ee208fb727b62e27b87380b	0	0	olympics - all programmes - page 1	real	bbc.co.uk
9333	545739205525767	739052baec0dd3404cbbb9bf0d862334	1	0.076	olympics - all programmes - page 1	real	bbc.co.uk
9334	guest_bf8c80645dca0cd47c4090a0ec42614b	0bb1f807e0c8a22d55327e2af3a89d55	0	1	house of saddam: episode 3	real	bbc.co.uk
9334	guest_ba19008885239c62d57310a04258c97d	04874a24429f5318caa496e34bfc3830	1	0	house of saddam: episode 3	real	bbc.co.uk
9335	guest_bf8c80645dca0cd47c4090a0ec42614b	5524a93a35f4beb9ba646076843156c3	0	0	will women boost japan's gdp?	real	bbc.co.uk
9335	guest_ba19008885239c62d57310a04258c97d	e7680f0ea429ab3905a35124897d6ac5	0	0	will women boost japan's gdp?	real	bbc.co.uk
9336	guest_ba19008885239c62d57310a04258c97d	2c978aacac77a3c64c5669faa10ce4a4	1	0.989	edinburgh film festival's hannah mcgill stands down	real	bbc.co.uk
9336	guest_bf8c80645dca0cd47c4090a0ec42614b	b03a4bb99b4b04a85308e396e09d10f7	0	0.135	edinburgh film festival's hannah mcgill stands down	real	bbc.co.uk
9337	guest_269dd060f365693e6de394dca778ab8f	9dbc0150d71e340905874aa04dc4e135	1	1	malmo tie far from over, says rangers boss mccoist	real	bbc.co.uk
9337	guest_bf8c80645dca0cd47c4090a0ec42614b	15ad43362b9468c136e45a601948b399	0	0.141	malmo tie far from over, says rangers boss mccoist	real	bbc.co.uk
9338	guest_269dd060f365693e6de394dca778ab8f	2fe89b611a234c906288a44ab5f2754f	0	0	life on one of the world's most remote islands	real	bbc.co.uk
9338	guest_bf8c80645dca0cd47c4090a0ec42614b	1e2118b5320e040ffe4a0bb130a4c272	1	0.007	life on one of the world's most remote islands	real	bbc.co.uk
9339	guest_269dd060f365693e6de394dca778ab8f	834d6d88d565dba5562771ce34bf974c	0	0	asian airlines feel oil squeeze	real	bbc.co.uk
9339	guest_bf8c80645dca0cd47c4090a0ec42614b	0be05eeadee382507b561271febf9252	1	0.117	asian airlines feel oil squeeze	real	bbc.co.uk
9340	10101819314011935	8b61cc51306f5f02da39573700909266	0	0	today - hsbc 'has to be more efficient'	real	bbc.co.uk
9340	guest_bf8c80645dca0cd47c4090a0ec42614b	780b0e0787273f298d2808a80e0bebe1	1	0.196	today - hsbc 'has to be more efficient'	real	bbc.co.uk
9341	504504090138	705172a2734abf8eab832eb91cc2a894	1	0	what prospects for the young unemployed?	real	bbc.co.uk
9341	10101819314011935	fc4339f950b9e656410d0f25f1324045	0	0.795	what prospects for the young unemployed?	real	bbc.co.uk
9342	504504090138	6f5ce495e0585a39df6e8f0e3bd58550	1	0.03	firefighters rescue boy with head stuck in toilet seat	real	bbc.co.uk
9342	10101819314011935	936f8209e00a3ba1d48eb9aac735f18e	1	0	firefighters rescue boy with head stuck in toilet seat	real	bbc.co.uk
9343	guest_85ba2c5aedec51079d754f383e91e304	56ff3ddded3f1b09360b67dcaf5413ff	1	0	mark watson makes the world substantially better: series 2: generosity	real	bbc.co.uk
9343	guest_14f48cd01ea795d88f755bbdb6eeb002	f6b375eec10066d3c380f7d275944bff	0	0.604	mark watson makes the world substantially better: series 2: generosity	real	bbc.co.uk
9344	guest_85ba2c5aedec51079d754f383e91e304	34b9780357261c3060dffd923726c6e0	1	0.115	blood and guts: a history of surgery: bleeding hearts	real	bbc.co.uk
